# MIST version number  = 1.0
# MESA revision number =     7503
# photometric system   = HST/ACS/WFC (Vega)
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit
# 0.2577  5.81867E-03    -0.40     0.00     0.40
# --------------------------------------------------------------------------------------
#     initial_mass   N_pts   N_EEP   N_col   phase        type
# 2.0000000000E+00    1710      10      19     YES    low-mass
# EEPs:        1     202     353     454     605     631     707     808    1409    1710
# --------------------------------------------------------------------------------------
# CCM89 extinction: Av =  0.010
# --------------------------------------------------------------------------------------
#                              1                               2                               3                               4                               5                   6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19
                       star_age                        log_Teff                           log_g                           log_L                          Z_surf       ACS_WFC_F435W       ACS_WFC_F475W       ACS_WFC_F502N       ACS_WFC_F550M       ACS_WFC_F555W       ACS_WFC_F606W       ACS_WFC_F625W       ACS_WFC_F658N       ACS_WFC_F660N       ACS_WFC_F775W       ACS_WFC_F814W      ACS_WFC_F850LP       ACS_WFC_F892N               phase
         7.2278227029645890E+006         4.0207124252529498E+000         4.4385964114895753E+000         1.3380733992384026E+000         5.6847664527595043E-003            1.746528            1.759726            1.768915            1.777673            1.773914            1.784084            1.793971            1.810127            1.796582            1.817452            1.826708            1.851887            1.862835            0.000000
         7.2296891543469951E+006         4.0207123543034013E+000         4.4385988745636427E+000         1.3380706520559655E+000         5.6847636587917805E-003            1.746535            1.759732            1.768921            1.777680            1.773921            1.784091            1.793977            1.810134            1.796589            1.817459            1.826715            1.851893            1.862842            0.000000
         7.5182425380669422E+006         4.0207047168426495E+000         4.4389695553816688E+000         1.3376693734487144E+000         5.6847091764211655E-003            1.747524            1.760708            1.769884            1.778640            1.774886            1.785054            1.794938            1.811122            1.797569            1.818413            1.827672            1.852857            1.863818            0.000000
         7.8649545468626581E+006         4.0207306732387780E+000         4.4392979925441631E+000         1.3374447043412432E+000         5.6846332736313343E-003            1.748198            1.761387            1.770567            1.779329            1.775572            1.785745            1.795634            1.811822            1.798270            1.819119            1.828384            1.853582            1.864550            0.000000
         8.0498931162161287E+006         4.0207481762444077E+000         4.4394151979470573E+000         1.3373974812530938E+000         5.6845927610993385E-003            1.748389            1.761584            1.770769            1.779535            1.775775            1.785952            1.795844            1.812030            1.798480            1.819338            1.828605            1.853811            1.864780            0.000000
         8.2847717234044448E+006         4.0207561027264376E+000         4.4395986778034437E+000         1.3372456674400015E+000         5.6845359504222870E-003            1.748807            1.762001            1.771185            1.779954            1.776194            1.786372            1.796265            1.812457            1.798906            1.819762            1.829031            1.854243            1.865217            0.000000
         8.7859721528635509E+006         4.0207792443894075E+000         4.4398566777501083E+000         1.3370801511344637E+000         5.6844083592295647E-003            1.749320            1.762519            1.771707            1.780482            1.776719            1.786901            1.796799            1.812993            1.799443            1.820305            1.829579            1.854803            1.865781            0.000000
         8.7898424264501091E+006         4.0207793601552133E+000         4.4398580182694758E+000         1.3370792730377450E+000         5.6844083592295647E-003            1.749322            1.762521            1.771709            1.780484            1.776721            1.786903            1.796801            1.812996            1.799445            1.820307            1.829581            1.854805            1.865783            0.000000
         9.3928310512356572E+006         4.0207959554269301E+000         4.4400511265185028E+000         1.3369524460828821E+000         5.6842593476176262E-003            1.749712            1.762914            1.772105            1.780884            1.777119            1.787304            1.797205            1.813402            1.799852            1.820719            1.829996            1.855228            1.866210            0.000000
         9.3974753795395270E+006         4.0207960185016356E+000         4.4400519064749790E+000         1.3369519176570237E+000         5.6842593476176262E-003            1.749713            1.762915            1.772106            1.780885            1.777120            1.787305            1.797206            1.813403            1.799853            1.820720            1.829997            1.855229            1.866211            0.000000
         9.4021197078433950E+006         4.0207960815763419E+000         4.4400526864314545E+000         1.3369513892311655E+000         5.6842565536499023E-003            1.749716            1.762919            1.772110            1.780889            1.777124            1.787309            1.797211            1.813407            1.799857            1.820724            1.830001            1.855234            1.866216            0.000000
         1.0128492654568378E+007         4.0208018984523184E+000         4.4401546570652926E+000         1.3368725659624738E+000         5.6840777397155762E-003            1.749940            1.763143            1.772334            1.781114            1.777349            1.787535            1.797438            1.813637            1.800087            1.820953            1.830232            1.855468            1.866453            0.000000
         1.0134065848533019E+007         4.0208017901416024E+000         4.4401546832603813E+000         1.3368721056030599E+000         5.6840777397155762E-003            1.749941            1.763144            1.772335            1.781115            1.777350            1.787537            1.797439            1.813638            1.800088            1.820955            1.830233            1.855469            1.866454            0.000000
         1.1007942662188854E+007         4.0207859308464489E+000         4.4401432416177862E+000         1.3368199655884352E+000         5.6838691234588623E-003            1.750009            1.763204            1.772388            1.781164            1.777402            1.787585            1.797484            1.813692            1.800138            1.820992            1.830269            1.855500            1.866487            0.000000
         1.1014630494946424E+007         4.0207858476996448E+000         4.4401426251755343E+000         1.3368202483380347E+000         5.6838663294911385E-003            1.750009            1.763204            1.772388            1.781163            1.777402            1.787585            1.797483            1.813691            1.800138            1.820991            1.830268            1.855500            1.866486            0.000000
         1.1021318327703997E+007         4.0207857645528389E+000         4.4401420087332824E+000         1.3368205310876344E+000         5.6838663294911385E-003            1.750008            1.763203            1.772387            1.781163            1.777401            1.787584            1.797483            1.813691            1.800137            1.820990            1.830267            1.855499            1.866485            0.000000
         1.2073983203745540E+007         4.0207693781636404E+000         4.4400249183360359E+000         1.3368719019303177E+000         5.6836223229765892E-003            1.749813            1.763003            1.772182            1.780954            1.777195            1.787375            1.797270            1.813480            1.799925            1.820770            1.830045            1.855270            1.866255            0.000000
         1.2082008603054624E+007         4.0207691561992505E+000         4.4400234355539681E+000         1.3368724955281968E+000         5.6836223229765892E-003            1.749810            1.762999            1.772179            1.780950            1.777191            1.787371            1.797266            1.813477            1.799921            1.820766            1.830041            1.855265            1.866250            0.000000
         1.2090034002363708E+007         4.0207689342348587E+000         4.4400219527718994E+000         1.3368730891260756E+000         5.6836195290088654E-003            1.749809            1.762998            1.772177            1.780949            1.777190            1.787370            1.797265            1.813475            1.799920            1.820765            1.830039            1.855264            1.866249            0.000000
         1.3358047093199011E+007         4.0207321077550695E+000         4.4397687771484842E+000         1.3369787492076681E+000         5.6833433918654919E-003            1.749392            1.762569            1.771737            1.780499            1.776746            1.786919            1.796806            1.813023            1.799464            1.820289            1.829558            1.854767            1.865749            0.000000
         1.3367677572369913E+007         4.0207317828609330E+000         4.4397663679414467E+000         1.3369798572456801E+000         5.6833405978977680E-003            1.749389            1.762566            1.771734            1.780497            1.776743            1.786916            1.796803            1.813020            1.799461            1.820287            1.829556            1.854764            1.865747            0.000000
         1.3377308051540814E+007         4.0207314579667974E+000         4.4397639587344093E+000         1.3369809652836921E+000         5.6833350099623203E-003            1.749385            1.762561            1.771730            1.780492            1.776738            1.786911            1.796798            1.813015            1.799456            1.820281            1.829550            1.854759            1.865741            0.000000
         1.4904702048045717E+007         4.0206774651746882E+000         4.4393637068967653E+000         1.3371649933435306E+000         5.6830178946256638E-003            1.748703            1.761862            1.771015            1.779764            1.776018            1.786181            1.796057            1.812281            1.798716            1.819515            1.828776            1.853961            1.864939            0.000000
         1.4916258623050798E+007         4.0206770006174191E+000         4.4393602657997890E+000         1.3371665742991792E+000         5.6830155663192272E-003            1.748696            1.761856            1.771009            1.779757            1.776012            1.786174            1.796050            1.812274            1.798710            1.819509            1.828770            1.853954            1.864932            0.000000
         1.4927815198055880E+007         4.0206765360601491E+000         4.4393568247028128E+000         1.3371681552548282E+000         5.6830155663192272E-003            1.748691            1.761850            1.771003            1.779751            1.776006            1.786168            1.796044            1.812268            1.798703            1.819502            1.828763            1.853948            1.864925            0.000000
         1.4939371773060963E+007         4.0206760715028800E+000         4.4393533836058365E+000         1.3371697362104769E+000         5.6830127723515034E-003            1.748685            1.761844            1.770996            1.779745            1.776000            1.786162            1.796038            1.812262            1.798697            1.819495            1.828756            1.853941            1.864918            0.000000
         1.6781489828870915E+007         4.0205993802102675E+000         4.4387862992902924E+000         1.3374297504576176E+000         5.6826467625796795E-003            1.747718            1.760852            1.769984            1.778713            1.774979            1.785126            1.794987            1.811221            1.797648            1.818409            1.827659            1.852810            1.863780            0.000000
         1.6795357718877010E+007         4.0205987513668457E+000         4.4387816679885832E+000         1.3374318640886322E+000         5.6826439686119556E-003            1.747711            1.760845            1.769976            1.778705            1.774972            1.785119            1.794979            1.811213            1.797640            1.818401            1.827651            1.852802            1.863772            0.000000
         1.6809225608883109E+007         4.0205981225234231E+000         4.4387770366868722E+000         1.3374339777196469E+000         5.6826416403055191E-003            1.747702            1.760836            1.769966            1.778695            1.774962            1.785109            1.794969            1.811203            1.797631            1.818391            1.827640            1.852791            1.863761            0.000000
         1.7793999645180620E+007         4.0205641356497024E+000         4.4385034690693752E+000         1.3375714398149889E+000         5.6824651546776295E-003            1.747218            1.760341            1.769463            1.778184            1.774455            1.784596            1.794449            1.810686            1.797110            1.817855            1.827100            1.852235            1.863202            0.000000
         1.9044729477866024E+007         4.0204936320258282E+000         4.4380118690046544E+000         1.3377808129763060E+000         5.6822216138243675E-003            1.746404            1.759504            1.768606            1.777308            1.773591            1.783718            1.793556            1.809805            1.796221            1.816931            1.826164            1.851270            1.862231            0.000000
         1.9061370945873342E+007         4.0204928012932832E+000         4.4380058577390269E+000         1.3377834985515018E+000         5.6822188198566437E-003            1.746396            1.759495            1.768597            1.777300            1.773582            1.783709            1.793547            1.809796            1.796212            1.816921            1.826155            1.851260            1.862222            0.000000
         1.9078012413880657E+007         4.0204919705607374E+000         4.4379998464733994E+000         1.3377861841266976E+000         5.6822188198566437E-003            1.746385            1.759484            1.768585            1.777288            1.773570            1.783697            1.793535            1.809784            1.796201            1.816909            1.826143            1.851247            1.862209            0.000000
         2.0265603332283206E+007         4.0204442178163387E+000         4.4376328496946851E+000         1.3379619790713302E+000         5.6820157915353775E-003            1.745748            1.758833            1.767921            1.776611            1.772901            1.783018            1.792847            1.809101            1.795513            1.816199            1.825425            1.850509            1.861466            0.000000
         2.1773930231066011E+007         4.0203535059479893E+000         4.4370060526724631E+000         1.3382256720428445E+000         5.6817447766661644E-003            1.744715            1.757769            1.766831            1.775498            1.771802            1.781902            1.791711            1.807980            1.794382            1.815022            1.824235            1.849280            1.860230            0.000000
         2.1793899992674790E+007         4.0203524227147023E+000         4.4369983954032808E+000         1.3382289930605111E+000         5.6817419826984406E-003            1.744703            1.757757            1.766818            1.775486            1.771789            1.781889            1.791698            1.807967            1.794369            1.815008            1.824222            1.849266            1.860216            0.000000
         2.1813869754283570E+007         4.0203513394814152E+000         4.4369907381340985E+000         1.3382323140781778E+000         5.6817363947629929E-003            1.744691            1.757744            1.766805            1.775473            1.771777            1.781876            1.791685            1.807954            1.794356            1.814995            1.824208            1.849252            1.860202            0.000000
         2.1833839515892353E+007         4.0203502562481290E+000         4.4369830808649162E+000         1.3382356350958449E+000         5.6817336007952690E-003            1.744678            1.757732            1.766792            1.775459            1.771763            1.781863            1.791672            1.807941            1.794343            1.814981            1.824194            1.849238            1.860187            0.000000
         2.5064946944193020E+007         4.0201723661600770E+000         4.4357267181863804E+000         1.3387799000535778E+000         5.6811999529600143E-003            1.742587            1.755581            1.764591            1.773213            1.769544            1.779610            1.789382            1.805678            1.792061            1.812610            1.821797            1.846765            1.857700            0.000000
         2.5088910658123560E+007         4.0201710127506995E+000         4.4357171740240799E+000         1.3387840265870077E+000         5.6811971589922905E-003            1.742571            1.755565            1.764574            1.773196            1.769527            1.779592            1.789364            1.805660            1.792043            1.812591            1.821778            1.846745            1.857681            0.000000
         2.5112874372054093E+007         4.0201696593413221E+000         4.4357076298617777E+000         1.3387881531204371E+000         5.6811920367181301E-003            1.742555            1.755548            1.764557            1.773179            1.769510            1.779575            1.789346            1.805643            1.792025            1.812573            1.821760            1.846726            1.857662            0.000000
         2.5136838085984632E+007         4.0201683059319446E+000         4.4356980856994763E+000         1.3387922796538669E+000         5.6811892427504063E-003            1.742539            1.755531            1.764540            1.773161            1.769493            1.779557            1.789328            1.805625            1.792008            1.812554            1.821741            1.846707            1.857642            0.000000
         2.9033337971089855E+007         4.0199465011915763E+000         4.4341312431496336E+000         1.3394712534983100E+000         5.6806257925927639E-003            1.739931            1.752850            1.761795            1.770360            1.766726            1.776748            1.786473            1.802803            1.789162            1.809597            1.818752            1.843623            1.854541            0.000000
         2.9062094427806500E+007         4.0199448442630494E+000         4.4341195078575204E+000         1.3394763562725536E+000         5.6806229986250401E-003            1.739910            1.752829            1.761773            1.770338            1.766704            1.776725            1.786450            1.802780            1.789139            1.809574            1.818728            1.843598            1.854516            0.000000
         2.9090850884523146E+007         4.0199431873345208E+000         4.4341077725654063E+000         1.3394814590467972E+000         5.6806202046573162E-003            1.739891            1.752810            1.761753            1.770318            1.766684            1.776705            1.786430            1.802760            1.789119            1.809553            1.818707            1.843576            1.854494            0.000000
         2.9119607341239791E+007         4.0199415304059931E+000         4.4340960372732932E+000         1.3394865618210405E+000         5.6806150823831558E-003            1.739871            1.752789            1.761732            1.770296            1.766662            1.776683            1.786407            1.802738            1.789096            1.809529            1.818683            1.843551            1.854469            0.000000
         2.9148363797956433E+007         4.0199398734774654E+000         4.4340843019811791E+000         1.3394916645952843E+000         5.6806122884154320E-003            1.739852            1.752769            1.761712            1.770276            1.766643            1.776663            1.786387            1.802718            1.789076            1.809508            1.818662            1.843530            1.854447            0.000000
         3.3852920116799355E+007         4.0196707793177699E+000         4.4321580904532176E+000         1.3403407123591826E+000         5.6800027377903461E-003            1.736625            1.749454            1.758320            1.766816            1.763224            1.773192            1.782861            1.799229            1.785560            1.805858            1.814973            1.839725            1.850621            0.000000
         3.3887427864859320E+007         4.0196688251302168E+000         4.4321438991761610E+000         1.3403470811003033E+000         5.6799999438226223E-003            1.736601            1.749430            1.758295            1.766791            1.763199            1.773167            1.782835            1.799204            1.785534            1.805832            1.814945            1.839697            1.850592            0.000000
         3.3921935612919301E+007         4.0196668709426637E+000         4.4321297078991035E+000         1.3403534498414242E+000         5.6799920275807381E-003            1.736576            1.749403            1.758268            1.766763            1.763171            1.773139            1.782806            1.799176            1.785506            1.805802            1.814916            1.839666            1.850561            0.000000
         3.3956443360979266E+007         4.0196649167551115E+000         4.4321155166220469E+000         1.3403598185825449E+000         5.6799892336130142E-003            1.736552            1.749379            1.758243            1.766738            1.763146            1.773113            1.782781            1.799150            1.785480            1.805776            1.814889            1.839638            1.850534            0.000000
         3.7146736168900549E+007         4.0194861699653650E+000         4.4307524434258241E+000         1.3410073551654844E+000         5.6795398704707623E-003            1.734196            1.746967            1.755782            1.764232            1.760667            1.770599            1.780229            1.796619            1.782932            1.803143            1.812229            1.836900            1.847778            0.000000
         3.9670926439710721E+007         4.0193321365009531E+000         4.4297348030767836E+000         1.3414084509943547E+000         5.6792092509567738E-003            1.732565            1.745283            1.754052            1.762463            1.758922            1.768824            1.778422            1.794839            1.781134            1.801264            1.810329            1.834935            1.845803            0.000000
         3.9712335737382680E+007         4.0193296459712000E+000         4.4297172872258299E+000         1.3414159977516711E+000         5.6792064569890499E-003            1.732537            1.745254            1.754022            1.762432            1.758892            1.768794            1.778391            1.794808            1.781103            1.801232            1.810296            1.834902            1.845769            0.000000
         3.9753745035054654E+007         4.0193271554414478E+000         4.4296997713748754E+000         1.3414235445089875E+000         5.6792013347148895E-003            1.732508            1.745224            1.753992            1.762402            1.758861            1.768763            1.778360            1.794777            1.781072            1.801200            1.810264            1.834868            1.845736            0.000000
         3.9795154332726613E+007         4.0193246649116956E+000         4.4296822555239217E+000         1.3414310912663039E+000         5.6791929528117180E-003            1.732479            1.745194            1.753962            1.762371            1.758831            1.768732            1.778329            1.794746            1.781040            1.801167            1.810231            1.834834            1.845701            0.000000
         4.6644252167669967E+007         4.0189046824494259E+000         4.4267425268604681E+000         1.3426897333487204E+000         5.6783263571560383E-003            1.727615            1.740191            1.748836            1.757139            1.753664            1.763483            1.772992            1.789471            1.775721            1.795636            1.804639            1.829063            1.839897            0.000000
         4.6693943324876323E+007         4.0189015736817639E+000         4.4267208719152098E+000         1.3426989448070863E+000         5.6783212348818779E-003            1.727579            1.740153            1.748797            1.757099            1.753624            1.763443            1.772951            1.789431            1.775681            1.795594            1.804596            1.829019            1.839853            0.000000
         4.6743634482082680E+007         4.0188984649141029E+000         4.4266992169699515E+000         1.3427081562654521E+000         5.6783156469464302E-003            1.727544            1.740117            1.748761            1.757062            1.753588            1.763406            1.772913            1.789394            1.775643            1.795555            1.804557            1.828978            1.839812            0.000000
         4.6793325639289044E+007         4.0188953561464418E+000         4.4266775620246914E+000         1.3427173677238180E+000         5.6783105246722698E-003            1.727507            1.740079            1.748722            1.757023            1.753549            1.763366            1.772873            1.789354            1.775603            1.795513            1.804514            1.828934            1.839768            0.000000
         4.6843016796495400E+007         4.0188922473787798E+000         4.4266559070794331E+000         1.3427265791821841E+000         5.6783021427690983E-003            1.727473            1.740044            1.748685            1.756985            1.753512            1.763329            1.772835            1.789316            1.775565            1.795474            1.804475            1.828893            1.839726            0.000000
         5.5111625355633773E+007         4.0183730771738126E+000         4.4230309985678948E+000         1.3442734013777535E+000         5.6773247197270393E-003            1.721487            1.733885            1.742376            1.750544            1.747150            1.756866            1.766263            1.782820            1.769014            1.788661            1.797586            1.821782            1.832576            0.000000
         5.5171254744281411E+007         4.0183693206628117E+000         4.4230047136666331E+000         1.3442846500656187E+000         5.6773168034851551E-003            1.721444            1.733840            1.742330            1.750497            1.747104            1.756819            1.766215            1.782773            1.768966            1.788611            1.797536            1.821731            1.832524            0.000000
         5.5230884132929042E+007         4.0183655641518108E+000         4.4229784287653713E+000         1.3442958987534839E+000         5.6773112155497074E-003            1.721400            1.733795            1.742284            1.750450            1.747057            1.756771            1.766167            1.782725            1.768918            1.788562            1.797486            1.821679            1.832471            0.000000
         5.5290513521576673E+007         4.0183618076408099E+000         4.4229521438641095E+000         1.3443071474413490E+000         5.6773060932755470E-003            1.721358            1.733752            1.742240            1.750405            1.747013            1.756727            1.766122            1.782680            1.768873            1.788515            1.797438            1.821630            1.832422            0.000000
         5.5350142910224304E+007         4.0183580511298098E+000         4.4229258589628477E+000         1.3443183961292147E+000         5.6773005053400993E-003            1.721315            1.733707            1.742194            1.750358            1.746967            1.756679            1.766074            1.782633            1.768825            1.788465            1.797388            1.821578            1.832370            0.000000
         6.0842579115964070E+007         4.0180129728668348E+000         4.4204146092723020E+000         1.3454483683991252E+000         5.6767561472952366E-003            1.717080            1.729360            1.737749            1.745825            1.742486            1.752131            1.761453            1.778055            1.764212            1.783684            1.792556            1.816595            1.827357            0.000000
         6.5119301264920115E+007         4.0177529633681761E+000         4.4186276199398620E+000         1.3461946100032856E+000         5.6763044558465481E-003            1.714159            1.726351            1.734663            1.742673            1.739375            1.748968            1.758235            1.774876            1.761005            1.780345            1.789179            1.813108            1.823850            0.000000
         6.5187210934229404E+007         4.0177488178625795E+000         4.4185977882548837E+000         1.3462078479812880E+000         5.6762988679111004E-003            1.714108            1.726299            1.734610            1.742619            1.739321            1.748914            1.758180            1.774822            1.760950            1.780288            1.789121            1.813048            1.823790            0.000000
         6.5255120603538662E+007         4.0177446723569812E+000         4.4185679565699036E+000         1.3462210859592902E+000         5.6762932799756527E-003            1.714058            1.726247            1.734557            1.742565            1.739268            1.748859            1.758125            1.774767            1.760895            1.780230            1.789063            1.812988            1.823730            0.000000
         6.5323030272847943E+007         4.0177405268513846E+000         4.4185381248849254E+000         1.3462343239372925E+000         5.6762853637337685E-003            1.714009            1.726197            1.734506            1.742513            1.739216            1.748807            1.758072            1.774714            1.760842            1.780175            1.789008            1.812931            1.823673            0.000000
         7.1440987822442055E+007         4.0173761374320796E+000         4.4157725742246017E+000         1.3475412327085103E+000         5.6757116690278053E-003            1.709252            1.721323            1.729532            1.737445            1.734203            1.743722            1.752910            1.769590            1.755683            1.774845            1.783622            1.807384            1.818089            0.000000
         7.6104220851183623E+007         4.0170999787391741E+000         4.4138258435393469E+000         1.3483825473583186E+000         5.6752488017082214E-003            1.706028            1.718008            1.726137            1.733979            1.730779            1.740244            1.749373            1.766090            1.752154            1.771178            1.779915            1.803558            1.814241            0.000000
         7.6176841498493105E+007         4.0170957575015791E+000         4.4137942283176956E+000         1.3483972650084493E+000         5.6752432137727737E-003            1.705974            1.717952            1.726080            1.733921            1.730722            1.740186            1.749314            1.766032            1.752095            1.771117            1.779853            1.803494            1.814177            0.000000
         7.6249462145802587E+007         4.0170915362639841E+000         4.4137626130960443E+000         1.3484119826585801E+000         5.6752352975308895E-003            1.705922            1.717899            1.726025            1.733865            1.730667            1.740130            1.749258            1.765975            1.752038            1.771059            1.779794            1.803433            1.814116            0.000000
         7.6322082793112054E+007         4.0170873150263882E+000         4.4137309978743930E+000         1.3484267003087109E+000         5.6752273812890053E-003            1.705867            1.717843            1.725968            1.733807            1.730610            1.740072            1.749199            1.765917            1.751980            1.770998            1.779732            1.803370            1.814052            0.000000
         8.7611980677246600E+007         4.0164468185664415E+000         4.4088377406455557E+000         1.3507559970099587E+000         5.6741395965218544E-003            1.697435            1.709206            1.717156            1.724829            1.721728            1.731062            1.740054            1.756832            1.742835            1.761554            1.770190            1.793543            1.804160            0.000000
         8.7687492812982440E+007         4.0164426103363695E+000         4.4088051168774927E+000         1.3507717745897603E+000         5.6741340085864067E-003            1.697380            1.709150            1.717099            1.724771            1.721670            1.731004            1.739995            1.756773            1.742775            1.761493            1.770129            1.793479            1.804096            0.000000
         8.7763004948718295E+007         4.0164384021062984E+000         4.4087724931094305E+000         1.3507875521695620E+000         5.6741260923445225E-003            1.697323            1.709092            1.717039            1.724711            1.721611            1.730943            1.739933            1.756712            1.742714            1.761430            1.770065            1.793413            1.804030            0.000000
         8.7838517084454149E+007         4.0164341938762265E+000         4.4087398693413666E+000         1.3508033297493633E+000         5.6741177104413509E-003            1.697266            1.709034            1.716980            1.724650            1.721550            1.730882            1.739872            1.756651            1.742652            1.761366            1.770000            1.793347            1.803963            0.000000
         9.9492098836389929E+007         4.0158004042456996E+000         4.4037224527353089E+000         1.3532835258307534E+000         5.6730625219643116E-003            1.688486            1.700056            1.707833            1.715339            1.712333            1.721538            1.730394            1.747219            1.733163            1.751591            1.760127            1.783187            1.793732            0.000000
         9.9569542149269581E+007         4.0157962604259616E+000         4.4036891849687789E+000         1.3533002045528795E+000         5.6730546057224274E-003            1.688426            1.699996            1.707771            1.715276            1.712271            1.721475            1.730330            1.747155            1.733099            1.751525            1.760060            1.783118            1.793664            0.000000
         9.9646985462149233E+007         4.0157921166062227E+000         4.4036559172022489E+000         1.3533168832750060E+000         5.6730490177869797E-003            1.688367            1.699935            1.707710            1.715214            1.712209            1.721412            1.730266            1.747092            1.733035            1.751459            1.759994            1.783050            1.793594            0.000000
         9.9724428775028914E+007         4.0157879727864856E+000         4.4036226494357189E+000         1.3533335619971321E+000         5.6730411015450954E-003            1.688310            1.699877            1.707650            1.715153            1.712149            1.721351            1.730204            1.747030            1.732973            1.751396            1.759930            1.782984            1.793528            0.000000
         1.1163601275860484E+008         4.0151636624282041E+000         4.3985176714673102E+000         1.3559391651201613E+000         5.6720213033258915E-003            1.679256            1.690632            1.698243            1.705584            1.702670            1.711747            1.720468            1.737327            1.723216            1.741368            1.749802            1.772569            1.783039            0.000000
         1.1171493186544099E+008         4.0151595770320654E+000         4.3984838955170336E+000         1.3559565852881807E+000         5.6720157153904438E-003            1.679195            1.690570            1.698179            1.705519            1.702606            1.711682            1.720402            1.737261            1.723150            1.741300            1.749733            1.772499            1.782968            0.000000
         1.1179385097227716E+008         4.0151554916359258E+000         4.3984501195667587E+000         1.3559740054561997E+000         5.6720105931162834E-003            1.679134            1.690508            1.698116            1.705454            1.702542            1.711617            1.720337            1.737196            1.723085            1.741232            1.749665            1.772429            1.782897            0.000000
